Kit NSN,Kit Name,Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-158-8010,SPECULUM OTOSCOPE 2.75MM,1,BG,WHSE,32.48,32.48,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-225-4681,"SPLINT, UNIVERSAL.LIGHTWEIGHT; RADIOLUCENT; GRAY; 4-1/2 BY 36 INCH (10.8 BY 92.2 CM);FOR IMMOBILIZATION OF INJURED EXTREMITIES",2,EA,WHSE,11.13,22.26,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-257-6384,TUBE TRACH 6.5MM CUFFED,1,EA,WHSE,2.59,2.59,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-269-1792,AIRWAY NASOPHARYNG 28FR,1,EA,WHSE,9.12,9.12,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-318-3468,SPHYGMOMANOMETER W/CASE,1,EA,WHSE,117,117,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-357-5932,SYR HYPO PLS/DBL-SC 6CC,3,EA,WHSE,0.19,0.57,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-390-9654,"CATHETER, I.V., SAFETY VERSION, 18G X 1.25IN",25,EA,WHSE,1.8,45,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-509-6866,SPLINT PELVIC SAM,2,EA,WHSE,87.22,174.44,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-521-7976,"TOURNIQUET, COMBAT APPLICATION, HEMORRHAGE CONTROL, C-A-T, BLACK",4,EA,WHSE,32.98,131.92,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-525-0236,SPECULUM OTOSCOPE 4.25MM,1,BG,WHSE,35.19,35.19,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-583-0475,"SYRINGE,HYPODERMIC. CAPACITY 50 ML",1,EA,WHSE,0.99,0.99,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-618-6471,"SYRINGE, HYPODERMIC 3ML",6,EA,WHSE,0.13,0.78,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-618-8278,"PACK, AIRWAY SUPRAGLOTTIC, ADULT, SIZE 4 COMES WITH LUBRICANT AND AIRWAY SUPPORT STRAP",2,EA,WHSE,35,70,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-621-2401,"PACK, AIRWAY SUPRAGLOTTIC, ADULT, SIZE 5 COMES WITH LUBRICANT AND AIRWAY SUPPORT STRAP",4,EA,WHSE,35,140,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-673-1021,"CATHETER, I.V., SAFETY VERSION, 16G X 1.25IN",25,EA,WHSE,1.8,45,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-673-7560,STETHOSCOPE,3,EA,WHSE,131.24,393.72,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-685-3762,"SOLUTION SET, NON-VENTED, 10 DROPS/ML, 112IN (2.8M)",15,EA,WHSE,6.02,90.3,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-01-695-8358,"CATHETER, I.V. SAFETY VERSION, 20G X 1.25IN",25,EA,WHSE,1.8,45,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-20-011-2559,"TRAY, TACTICAL VASCULAR",4,SE,WHSE,46.78,187.12,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-20-011-4681,SET AIRWAY SURGICAL STER,4,EA,WHSE,50.83,203.32,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-113-1540,HAMMER REFLEX TESTING,1,EA,WHSE,3.94,3.94,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6515-21-113-1564,SPHYGMOMANO POCKET TYPE,1,EA,WHSE,23.28,23.28,D,
